Character Name,Dialogue,lines
Hermione Granger,Wingardium Leviosa.,Hermione Granger: Wingardium Leviosa.
Seamus Finnigan,Wingard Levosa.,Seamus Finnigan: Wingard Levosa.
Filius Flitwick,Whooaaa! Ooh.,Filius Flitwick: Whooaaa! Ooh.
Harry Potter,I think she heard you.,Harry Potter: I think she heard you.
Harry Potter,Where's Hermione?,Harry Potter: Where's Hermione?
Neville Longbottom,Parvati Patil said that she wouldn't come out of the girl's bathroom. She said that she'd been in there all afternoon...crying.,Neville Longbottom: Parvati Patil said that she wouldn't come out of the girl's bathroom. She said that she'd been in there all afternoon...crying.
Quirinus Quirrell,TROLL! IN THE DUNGEON! T-TROOLLL IN THE DUNGEON!!  Thought you ought to know.,Quirinus Quirrell: TROLL! IN THE DUNGEON! T-TROOLLL IN THE DUNGEON!!  Thought you ought to know.
Boy,Stay together!,Boy: Stay together!
Harry Potter,How could a troll get in?,Harry Potter: How could a troll get in?
Ron Weasley,Not by itself. Trolls are really stupid. Probably people playing jokes.  What?,Ron Weasley: Not by itself. Trolls are really stupid. Probably people playing jokes.  What?
Harry Potter,Hermione! She doesn't know!,Harry Potter: Hermione! She doesn't know!
Ron Weasley,I think the troll's left the dungeon!,Ron Weasley: I think the troll's left the dungeon!
Harry Potter,It's going into the Girl's Bathroom!,Harry Potter: It's going into the Girl's Bathroom!
Hermione Granger,Help! Help!,Hermione Granger: Help! Help!
Hermione Granger,Ahhh! Help!,Hermione Granger: Ahhh! Help!
Ron Weasley,Ew.,Ron Weasley: Ew.
Harry Potter,Do something!,Harry Potter: Do something!
Ron Weasley,What?,Ron Weasley: What?
Harry Potter,Anything! Hurry up!,Harry Potter: Anything! Hurry up!
Hermione Granger,Swish and flick!,Hermione Granger: Swish and flick!
Ron Weasley,Wingardium Leviosa!  Cool.,Ron Weasley: Wingardium Leviosa!  Cool.
Hermione Granger,Is it...dead?,Hermione Granger: Is it...dead?
Harry Potter,I don't think so. Just knocked out.  Ew. Troll bogies.,Harry Potter: I don't think so. Just knocked out.  Ew. Troll bogies.
Minerva McGonagall,Miss Granger?,Minerva McGonagall: Miss Granger?
